Feature,MI
EXP_SPIDR (23514),0.1696325886683976
EXP_TIPARP (25976),0.1696300180670729
EXP_ARVCF (421),0.1696203567907153
EXP_DNM3 (26052),0.16961742647632416
EXP_MMP13 (4322),0.16961156400297828
EXP_FCGR2A (2212),0.1696106021117414
EXP_NLRC3 (197358),0.1696074750775285
EXP_NCOA2 (10499),0.1696067864156552
EXP_EHHADH (1962),0.16960203646201233
EXP_UBE2V1 (7335),0.16959706108860573
EXP_DNAJB1 (3337),0.16959419771193218
EXP_LRCH4 (4034),0.1695914520841164
EXP_FAM227B (196951),0.16959070338272486
EXP_MFSD11 (79157),0.16959061791787278
EXP_L1CAM (3897),0.16958948165932508
EXP_GPX4 (2879),0.16958079925445624
EXP_AAGAB (79719),0.1695800038840991
EXP_JRKL (8690),0.1695782061114013
EXP_LDLR (3949),0.1695637848682212
EXP_CFAP263 (29070),0.1695580347388317
EXP_FGFR1 (2260),0.16955568368647356
EXP_ZSWIM6 (57688),0.16955364859035615
EXP_C5orf15 (56951),0.16955238358970703
EXP_SUDS3 (64426),0.16955038578278092
EXP_RPS6KA3 (6197),0.16954832398974595
EXP_MRPS18A (55168),0.16954602670673946
EXP_FLT3LG (2323),0.16954465647919914
EXP_MYD88 (4615),0.16953414989928106
EXP_TGIF2 (60436),0.16953370320833816
EXP_RPUSD2 (27079),0.16952965672879472
EXP_TRPT1 (83707),0.16952184169738072
EXP_NFATC3 (4775),0.16952031725706895
EXP_NCAPH (23397),0.16951306814148026
EXP_ZNF506 (440515),0.1695089175384874
EXP_G6PD (2539),0.16950579266728028
EXP_NUP210 (23225),0.16950367305479297
EXP_EXOC7 (23265),0.1695023379134133
EXP_SERPINA1 (5265),0.1695005476660283
EXP_RBM18 (92400),0.1695004993332363
EXP_PRRX1 (5396),0.16949902544139306
EXP_COLQ (8292),0.1694972687330143
EXP_TMEM181 (57583),0.16949349664720526
EXP_PNO1 (56902),0.16948900919999144
EXP_NDUFB5 (4711),0.16948768303662298
EXP_CYP4F11 (57834),0.16948542502189223
EXP_STAT1 (6772),0.16948410323057317
EXP_TK2 (7084),0.16948314175834955
EXP_SIKE1 (80143),0.16947159334276485
EXP_CLBA1 (122616),0.1694710149535359
EXP_DRAM1 (55332),0.1694703643031632
EXP_ARFGAP2 (84364),0.16946699594961867
EXP_SYNE2 (23224),0.16946488540048232
EXP_NDUFAF8 (284184),0.16946353288282978
EXP_ZNHIT1 (10467),0.16946080452727852
EXP_SPINDOC (144097),0.1694606091316011
EXP_DENND11 (57189),0.1694600246848159
EXP_KATNBL1 (79768),0.16945568343977158
EXP_PRXL2A (84293),0.16945466119865138
EXP_PHLDA1 (22822),0.16945438160229198
EXP_THEM4 (117145),0.16945429196977013
EXP_NFKBIL1 (4795),0.16945026925076423
EXP_VWA7 (80737),0.16944778621813317
EXP_SLC27A5 (10998),0.1694444188748312
EXP_C6orf47 (57827),0.16944317869017222
EXP_PPM1H (57460),0.16944277106003813
EXP_SLC35A2 (7355),0.1694389680025825
EXP_TSHZ1 (10194),0.16943852888418487
EXP_RHOT2 (89941),0.1694385153998743
EXP_BHLHA15 (168620),0.16943833649248763
EXP_USPL1 (10208),0.16943464770626981
EXP_BDNF (627),0.1694301862707963
EXP_GPR156 (165829),0.1694269758518443
EXP_TOMM5 (401505),0.1694231041275378
EXP_CLTCL1 (8218),0.16942156541843278
EXP_AGTRAP (57085),0.1694200237543626
EXP_ZNF398 (57541),0.16941528024867214
EXP_MSRB2 (22921),0.16941423403050138
EXP_UBE2O (63893),0.1694124618710786
EXP_AMER1 (139285),0.1694058355222392
EXP_GOLGB1 (2804),0.16939809549762241
EXP_TIFA (92610),0.1693972034505764
EXP_TIMMDC1 (51300),0.16939690862436851
EXP_NUP153 (9972),0.16939167383698628
EXP_ZFTA (65998),0.16938484204233095
EXP_CCDC69 (26112),0.16938072460783715
EXP_SMAD7 (4092),0.1693784197918058
EXP_TANGO2 (128989),0.16937833958206738
EXP_DHRS11 (79154),0.16937552049495075
EXP_RPS2 (6187),0.16937545014596367
EXP_CDR2L (30850),0.16937416728429433
EXP_AK2 (204),0.16937368018004406
EXP_CDV3 (55573),0.16937313457934433
EXP_ATP5PB (515),0.1693727220872976
EXP_ALYREF (10189),0.16937160355645098
EXP_PHC2 (1912),0.16936560851486426
EXP_DHX36 (170506),0.16936440762825988
EXP_TNNC2 (7125),0.16936076150963952
EXP_FAM98A (25940),0.1693588068790275
EXP_PIGY (84992),0.16935718501822183
EXP_SPOCD1 (90853),0.16935509928186754
EXP_WHR1 (8859),0.16935422202614792
EXP_MRPS2 (51116),0.1693494997866507
EXP_CTHRC1 (115908),0.16934941841404338
EXP_TMOD1 (7111),0.16934867887588467
EXP_TMC5 (79838),0.1693445554839741
EXP_EDEM2 (55741),0.16934426032119454
EXP_SPC24 (147841),0.1693418116149985
EXP_KRTCAP3 (200634),0.1693378551677025
EXP_VPS51 (738),0.16933391267702547
EXP_KDM1A (23028),0.16933320582008626
EXP_CCDC192 (728586),0.16933024087640636
EXP_NAA16 (79612),0.16932931130138584
EXP_RGS9BP (388531),0.16932712847511144
EXP_IFT70B (150737),0.16932664284943666
EXP_RFX2 (5990),0.16932471334150279
EXP_ANO9 (338440),0.16931809667645759
EXP_ATP6V1F (9296),0.16931685236713978
EXP_C2orf81 (388963),0.16931449693208034
EXP_PRDM15 (63977),0.16931326188904983
EXP_ARMC2 (84071),0.16930578916774053
EXP_TMEM25 (84866),0.16929138607541194
EXP_CNFN (84518),0.16928926486501794
EXP_RPS27 (6232),0.1692884325183055
EXP_CDRT4 (284040),0.1692840902858288
EXP_CHSY1 (22856),0.16928353080237457
