Pathway,Source,PathwayID
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,Reactome,367
Defective LFNG Causes SCDO3 R-HSA-5083630,Reactome,368
Defective RIPK1-mediated Regulated Necrosis R-HSA-9693928,Reactome,369
Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243,Reactome,370
Defective TPR May Confer Susceptibility Towards Thyroid Papillary Carcinoma (TPC) R-HSA-5619107,Reactome,371
Defective Factor IX Causes Hemophilia B R-HSA-9668250,Reactome,372
Defective Factor VIII Causes Hemophilia A R-HSA-9662001,Reactome,373
Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,Reactome,374
Defective Pyroptosis R-HSA-9710421,Reactome,375
Defects In Biotin (Btn) Metabolism R-HSA-3323169,Reactome,376
Defects In Cobalamin (B12) Metabolism R-HSA-3296469,Reactome,377
Defects In Vitamin And Cofactor Metabolism R-HSA-3296482,Reactome,378
Defects Of Contact Activation System (CAS) And Kallikrein/Kinin System (KKS) R-HSA-9651496,Reactome,379
Defensins R-HSA-1461973,Reactome,380
Degradation Of AXIN R-HSA-4641257,Reactome,381
Degradation Of DVL R-HSA-4641258,Reactome,382
Degradation Of GLI1 By Proteasome R-HSA-5610780,Reactome,383
Degradation Of GLI2 By Proteasome R-HSA-5610783,Reactome,384
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,Reactome,385
Degradation Of Cysteine And Homocysteine R-HSA-1614558,Reactome,386
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome,387
Depolymerisation Of Nuclear Lamina R-HSA-4419969,Reactome,388
Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,Reactome,389
